,V4-D4 SV Fence,V4-D4 SV MEM Fence,V4-D4 Prop1,V4-D4 PROP,V4-D4 BASE,V8-D4 SV Fence,V8-D4 SV MEM Fence,V8-D4 Prop1,V8-D4 PROP,V8-D4 BASE,V16-D4 SV Fence,V16-D4 SV MEM Fence,V16-D4 Prop1,V16-D4 PROP,V16-D4 BASE,V32-D4 SV Fence,V32-D4 SV MEM Fence,V32-D4 Prop1,V32-D4 PROP,V32-D4 BASE
Fetch,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628,0.168628
Rename,0.0795524,0.0795524,0.0795524,0.0795524,0.1642725,0.0795524,0.0795524,0.0795524,0.0795524,0.1642725,0.0795524,0.0795524,0.0795524,0.0795524,0.1642725,0.0795524,0.0795524,0.0795524,0.0795524,0.1642725
Scheduler,0.08403865999999999,0.08403865999999999,0.08403865999999999,0.08403865999999999,0.08964053999999999,0.08403865999999999,0.08403865999999999,0.08403865999999999,0.08403865999999999,0.08964053999999999,0.08403865999999999,0.08403865999999999,0.08403865999999999,0.08403865999999999,0.08964053999999999,0.08403865999999999,0.08403865999999999,0.08403865999999999,0.08403865999999999,0.08964053999999999
Scalar FU + RF,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141,0.681154141
Vector FU,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224,1.175224
Vector RF,0.1364974,0.1364974,0.1364974,0.1364974,0.373426,0.2729948,0.2729948,0.2729948,0.2729948,0.746852,0.5459896,0.5459896,0.5459896,0.5459896,1.493704,1.0919792,1.0919792,1.0919792,1.0919792,2.987408
L1D Cache,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404,0.509404
Scalar LSU,0.1528078,0.1528078,0.48330480000000003,0.24351050000000002,0.33421320000000004,0.1528078,0.1528078,0.48330480000000003,0.24351050000000002,0.33421320000000004,0.1528078,0.1528078,0.48330480000000003,0.24351050000000002,0.33421320000000004,0.1528078,0.1528078,0.48330480000000003,0.24351050000000002,0.33421320000000004
Vector LSU,0.23805359999999998,0.23805359999999998,0.23805359999999998,0.23805359999999998,0.4725922,0.23805359999999998,0.23805359999999998,0.23805359999999998,0.23805359999999998,0.4725922,0.23805359999999998,0.23805359999999998,0.23805359999999998,0.23805359999999998,0.4725922,0.23805359999999998,0.23805359999999998,0.23805359999999998,0.23805359999999998,0.4725922
